TSEAMCET-2017: LAST RANK STATEMENT (FIRST PHASE),,,,,,,,,,,,,,,,,,,,,,,,,,
inst_code,inst_name,place,Dist Name ,co_educ,college_type,year_of_estab,branch_code,branch_name,OC_            BOYS,OC_           GIRLS,BC_A_           BOYS,BC_A_        GIRLS,BC_B_        BOYS,BC_B_      GIRLS,BC_C_         BOYS,BC_C_          GIRLS,BC_D_           BOYS,BC_D_          GIRLS,BC_E_          BOYS,BC_E_             GIRLS,SC_                        BOYS,SC_                       GIRLS,ST_                 BOYS,ST_                    GIRLS,TUITION_FEE_2017,Affiliated_to
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CSE,COMPUTER SCIENCE  AND  ENGINEERING,66773,66773,94872,101969,86697,95663,66773,66773,74493,88174,66773,66773,93183,93183,66773,66773,47000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,102487,102487,102487,102487,102487,102487,102487,102487,102487,102487,102487,102487,102487,102487,102487,102487,47000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,93116,93116,93116,93116,93116,100950,93116,93116,93116,93116,93116,93116,99661,99661,93116,93116,47000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,MEC,MECHANICAL ENGINEERING,101860,101860,101860,101860,101860,101860,101860,101860,101860,101860,101860,101860,101860,101860,101860,101860,47000,JNTUH
ASOK,ASHOKA  INST OF ENGINEERING TECHNOLOGY,MALKAPUR,YBG,COED,PVT,2009,CIV,CIVIL ENGINEERING,56078,56078,56078,56078,56078,56078,56078,56078,56078,56078,56078,56078,56078,88668,56078,56078,55000,JNTUH
ASOK,ASHOKA  INST OF ENGINEERING TECHNOLOGY,MALKAPUR,YBG,COED,PVT,2009,CSE,COMPUTER SCIENCE  AND  ENGINEERING,92109,92109,95884,95884,92489,92489,92109,92109,92982,92982,92109,92109,92109,92109,98141,98141,55000,JNTUH
ASOK,ASHOKA  INST OF ENGINEERING TECHNOLOGY,MALKAPUR,YBG,COED,PVT,2009,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,81655,102182,81655,102182,81655,102182,81655,102182,94133,102182,81655,102182,81655,102182,81655,102182,55000,JNTUH
ASOK,ASHOKA  INST OF ENGINEERING TECHNOLOGY,MALKAPUR,YBG,COED,PVT,2009,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,103512,103512,103512,103512,103512,103512,103512,103512,103512,103512,103512,103512,103558,103558,78010,78010,55000,JNTUH
ASOK,ASHOKA  INST OF ENGINEERING TECHNOLOGY,MALKAPUR,YBG,COED,PVT,2009,MEC,MECHANICAL ENGINEERING,95156,95156,95156,95156,95156,95156,95156,95156,95156,95156,95156,95156,95156,95156,95156,95156,55000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSE,COMPUTER SCIENCE  AND  ENGINEERING,47353,47434,91437,100057,67966,77884,47353,47434,67311,67311,102808,102808,47353,47434,47353,47434,45000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,81693,81693,88278,88278,87871,99022,81693,81693,82603,82603,84198,84198,81693,81693,81693,81693,45000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,MEC,MECHANICAL ENGINEERING,102329,102329,102329,102329,102329,102329,102329,102329,102329,102329,102329,102329,102329,102329,102329,102329,45000,JNTUH
AURB,AURORAS ENGINEERING COLLEGE,BHONGIR,YBG,COED,PVT,1998,CIV,CIVIL ENGINEERING,99655,99655,100137,100137,100546,100546,99655,99655,99655,99655,99655,99655,99655,103397,99655,101710,59800,JNTUH
AURB,AURORAS ENGINEERING COLLEGE,BHONGIR,YBG,COED,PVT,1998,CSE,COMPUTER SCIENCE  AND  ENGINEERING,52357,52357,62905,69509,62297,62297,52357,52357,54345,60169,79223,89762,52357,52357,52357,55348,59800,JNTUH
AURB,AURORAS ENGINEERING COLLEGE,BHONGIR,YBG,COED,PVT,1998,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,71970,72495,93678,94468,88378,98927,85515,85515,87500,93218,93519,94263,76628,76628,71970,72495,59800,JNTUH
