State_Name,District_Name,Crop_Year,Season,Crop,Water level(mm),Humidity,Temperature,Area,Type_ of _Soil ,Fertilizers,Cost_ of_ Production,Production
Telangana ,ADILABAD,2005,Whole Year ,Sunflower,400,73,26,6467,Sandy soil,1,85.6,23
Telangana ,ADILABAD,2005,Whole Year ,Sweet potato,200,73,26,8,Clay Soil,1,88.1,14
Telangana ,ADILABAD,2005,Whole Year ,Tobacco,500,73,26,72,Sandy clay,1,140.9,7
Telangana ,ADILABAD,2005,Whole Year ,Turmeric,500,73,26,6571,Clay soil,1,200.2,13
Telangana ,ADILABAD,2006,Kharif     ,Arhar/Tur,1000,73,26,31414, clay loams,0,103.3,21833
Telangana ,ADILABAD,2006,Kharif     ,Castor seed,500,73,26,285,well drained soil,1,220.9,2
Telangana ,ADILABAD,2006,Kharif     ,Cotton(lint),1000,73,26,178770,Sandy Soil,1,310.8,8830
Telangana ,ADILABAD,2006,Kharif     ,Dry chillies,500,73,26,5724,Sandy soil,1,160.9,402
Telangana ,ADILABAD,2006,Kharif     ,Groundnut,500,73,26,44,Sandy loam,1,195.7,15
Telangana ,ADILABAD,2006,Kharif     ,Horse-gram,800,73,26,239,Sandy  soil,1,178.4,2
Telangana ,ADILABAD,2006,Kharif     ,Jowar,700,73,26,20073,Clay soil,1,121.8,39
Telangana ,ADILABAD,2006,Kharif     ,Maize,650,73,26,19286,Clay soil,1,286,1579
Telangana ,ADILABAD,2006,Kharif     ,Moong(Green Gram),1500,73,26,10536,Sandy loam,1,167.9,17
Telangana ,ADILABAD,2006,Kharif     ,Onion,400,73,26,38,Sandy loam,1,409.1,19
Telangana ,ADILABAD,2006,Kharif     ,Other Kharif pulses,900,73,26,1204,Sandy soil,1,179.5,14
Telangana ,ADILABAD,2006,Kharif     ,Rice,1700,73,26,64743,Clay Soil,1,213.3,100
Telangana ,ADILABAD,2006,Kharif     ,Sesamum,600,73,26,2280,Sandy loam,1,137.9,4
