State_Name,District_Name,Crop_Year,Season,Crop,Humidity,Temperature,Fertilizers,Area,Production,Type_ of _Soil ,Cost_ of_ Prediction
Telangana ,ADILABAD,2006,Rabi       ,Groundnut,73,26,1,4813,15,Sandy loam,195.7
Telangana ,ADILABAD,2006,Rabi       ,Horse-gram,73,26,1,1065,2,Sandy  soil,178.4
Telangana ,ADILABAD,2006,Rabi       ,Jowar,73,26,1,57042,48,Clay soil,121.8
Telangana ,ADILABAD,2006,Rabi       ,Linseed,73,26,1,2129,12,well drained soil,48.8
Telangana ,ADILABAD,2006,Rabi       ,Maize,73,26,1,5771,1749,Clay soil,286
Telangana ,ADILABAD,2006,Rabi       ,Moong(Green Gram),73,26,1,3749,19,Sandy loam,167.9
Telangana ,ADILABAD,2006,Rabi       ,Onion,73,26,1,401,27,Sandy loam,409.1
Telangana ,ADILABAD,2006,Rabi       ,Other  Rabi pulses,73,26,1,734,3,Sandy  soil,239.3
Telangana ,ADILABAD,2006,Rabi       ,Rice,73,26,1,9019,200,Clay Soil,213.3
Telangana ,ADILABAD,2006,Rabi       ,Safflower,73,26,1,333,4,well drained soil,42.1
Telangana ,ADILABAD,2006,Rabi       ,Sesamum,73,26,1,10012,4,Sandy loam,137.9
Telangana ,ADILABAD,2006,Rabi       ,Urad,73,26,1,1107,5,Sandy loam,58
Telangana ,ADILABAD,2006,Rabi       ,Wheat,73,26,1,3222,8,Clay loam,140.1
Telangana ,ADILABAD,2006,Whole Year ,Banana,73,26,1,41,24,Sandy Soil,339.4
Telangana ,ADILABAD,2006,Whole Year ,Cashewnut,73,26,1,62,1,Sandy Soil,183.1
Telangana ,ADILABAD,2006,Whole Year ,Coriander,73,26,1,731,3,well drained soil,261.3
Telangana ,ADILABAD,2006,Whole Year ,Potato,73,26,1,3,27,Sandy loam soil,259.1
Telangana ,ADILABAD,2006,Whole Year ,Sugarcane,73,26,1,566,432,Sandy loam,144.3
Telangana ,ADILABAD,2006,Whole Year ,Sunflower,73,26,1,7918,30,Sandy soil,85.6
Telangana ,ADILABAD,2006,Whole Year ,Sweet potato,73,26,1,14,16,Clay Soil,88.1
Telangana ,ADILABAD,2006,Whole Year ,Tobacco,73,26,1,235,18,Sandy clay,140.9
Telangana ,ADILABAD,2006,Whole Year ,Turmeric,73,26,1,6791,31,Clay soil,200.2
Telangana ,ADILABAD,2007,Kharif     ,Arhar/Tur,73,26,0,38000,30000, clay loams,103.3
Telangana ,ADILABAD,2007,Kharif     ,Cotton(lint),73,26,1,211000,15000,Sandy Soil,310.8
Telangana ,ADILABAD,2007,Kharif     ,Dry chillies,73,26,1,5000,417,Sandy soil,160.9
Telangana ,ADILABAD,2007,Kharif     ,Jowar,73,26,1,23000,53,Clay soil,121.8
Telangana ,ADILABAD,2007,Kharif     ,Maize,73,26,1,18000,2163,Clay soil,286
Telangana ,ADILABAD,2007,Kharif     ,Moong(Green Gram),73,26,1,11000,23,Sandy loam,167.9
Telangana ,ADILABAD,2007,Kharif     ,Other Kharif pulses,73,26,1,2000,18,Sandy soil,179.5
Telangana ,ADILABAD,2007,Kharif     ,Rice,73,26,1,40000,200,Clay Soil,213.3
Telangana ,ADILABAD,2007,Kharif     ,Sesamum,73,26,1,1000,5,Sandy loam,137.9
Telangana ,ADILABAD,2007,Kharif     ,Urad,73,26,1,17000,7,Sandy loam,58
Telangana ,ADILABAD,2007,Rabi       ,Bajra,73,26,1,1000,1,Sandy soil,167.9
Telangana ,ADILABAD,2007,Rabi       ,Gram,73,26,1,17000,176,Sandy soil,182.5
Telangana ,ADILABAD,2007,Rabi       ,Groundnut,73,26,1,5000,17,Sandy loam,195.7
Telangana ,ADILABAD,2007,Rabi       ,Horse-gram,73,26,1,1000,4,Sandy  soil,178.4
Telangana ,ADILABAD,2007,Rabi       ,Jowar,73,26,1,30000,72,Clay soil,121.8
Telangana ,ADILABAD,2007,Rabi       ,Maize,73,26,1,6000,2237,Clay soil,286
Telangana ,ADILABAD,2007,Rabi       ,Moong(Green Gram),73,26,1,3000,29,Sandy loam,167.9
Telangana ,ADILABAD,2007,Rabi       ,Rice,73,26,1,12000,8749,Clay Soil,213.3
Telangana ,ADILABAD,2007,Rabi       ,Sesamum,73,26,1,2000,7,Sandy loam,137.9
Telangana ,ADILABAD,2007,Rabi       ,Sunflower,73,26,1,7000,46,Sandy soil,85.6
Telangana ,ADILABAD,2007,Rabi       ,Urad,73,26,1,3000,8,Sandy loam,58
Telangana ,ADILABAD,2007,Rabi       ,Wheat,73,26,1,1000,9,Clay loam,140.1
Telangana ,ADILABAD,2008,Kharif     ,Arhar/Tur,73,26,0,39533,18660, clay loams,103.3
Telangana ,ADILABAD,2008,Kharif     ,Castor seed,73,26,1,236,2,well drained soil,220.9
Telangana ,ADILABAD,2008,Kharif     ,Cotton(lint),73,26,1,279353,18861,Sandy Soil,310.8
Telangana ,ADILABAD,2008,Kharif     ,Dry chillies,73,26,1,1830,496,Sandy soil,160.9
Telangana ,ADILABAD,2008,Kharif     ,Groundnut,73,26,1,60,19,Sandy loam,195.7
Telangana ,ADILABAD,2008,Kharif     ,Jowar,73,26,1,20019,97,Clay soil,121.8
Telangana ,ADILABAD,2008,Kharif     ,Maize,73,26,1,17574,2376,Clay soil,286
Telangana ,ADILABAD,2008,Kharif     ,Moong(Green Gram),73,26,1,9091,34,Sandy loam,167.9
Telangana ,ADILABAD,2008,Kharif     ,Rice,73,26,1,54506,22548,Clay Soil,213.3
Telangana ,ADILABAD,2008,Kharif     ,Sesamum,73,26,1,175,8,Sandy loam,137.9
Telangana ,ADILABAD,2008,Kharif     ,Soyabean,73,26,1,96223,5,loamy soil,364.4
Telangana ,ADILABAD,2008,Kharif     ,Urad,73,26,1,13833,9,Sandy loam,58
Telangana ,ADILABAD,2008,Rabi       ,Arhar/Tur,73,26,1,1539,726, clay loams,103.3
Telangana ,ADILABAD,2008,Rabi       ,Bajra,73,26,1,350,1,Sandy soil,167.9
Telangana ,ADILABAD,2008,Rabi       ,Dry chillies,73,26,1,350,592,Sandy soil,160.9
Telangana ,ADILABAD,2008,Rabi       ,Gram,73,26,1,23664,209,Sandy soil,182.5
Telangana ,ADILABAD,2008,Rabi       ,Groundnut,73,26,1,5897,22,Sandy loam,195.7
Telangana ,ADILABAD,2008,Rabi       ,Horse-gram,73,26,1,1166,4,Sandy  soil,178.4
Telangana ,ADILABAD,2008,Rabi       ,Jowar,73,26,1,24949,109,Clay soil,121.8
Telangana ,ADILABAD,2008,Rabi       ,Maize,73,26,1,15049,2712,Clay soil,286
Telangana ,ADILABAD,2008,Rabi       ,Moong(Green Gram),73,26,1,2097,46,Sandy loam,167.9
Telangana ,ADILABAD,2008,Rabi       ,Onion,73,26,1,1002,45,Sandy loam,409.1
Telangana ,ADILABAD,2008,Rabi       ,Rice,73,26,1,22788,22586,Clay Soil,213.3
Telangana ,ADILABAD,2008,Rabi       ,Sesamum,73,26,1,7381,8,Sandy loam,137.9
Telangana ,ADILABAD,2008,Rabi       ,Urad,73,26,1,1344,10,Sandy loam,58
Telangana ,ADILABAD,2008,Rabi       ,Wheat,73,26,1,7180,16,Clay loam,140.1
Telangana ,ADILABAD,2008,Whole Year ,Coriander,73,26,1,941,4,well drained soil,261.3
Telangana ,ADILABAD,2008,Whole Year ,Sugarcane,73,26,1,40,440,Sandy loam,144.3
Telangana ,ADILABAD,2008,Whole Year ,Sunflower,73,26,1,7033,80,Sandy soil,85.6
Telangana ,ADILABAD,2008,Whole Year ,Turmeric,73,26,1,5096,51,Clay soil,200.2
Telangana ,ADILABAD,2009,Kharif     ,Arhar/Tur,73,26,0,44943,25303, clay loams,103.3
Telangana ,ADILABAD,2009,Kharif     ,Castor seed,73,26,1,152,3,well drained soil,220.9
Telangana ,ADILABAD,2009,Kharif     ,Cotton(lint),73,26,1,280536,22099,Sandy Soil,310.8
Telangana ,ADILABAD,2009,Kharif     ,Dry chillies,73,26,1,4500,613,Sandy soil,160.9
Telangana ,ADILABAD,2009,Kharif     ,Groundnut,73,26,1,19,27,Sandy loam,195.7
Telangana ,ADILABAD,2009,Kharif     ,Jowar,73,26,1,29030,111,Clay soil,121.8
Telangana ,ADILABAD,2009,Kharif     ,Maize,73,26,1,13766,2776,Clay soil,286
Telangana ,ADILABAD,2009,Kharif     ,Mesta,73,26,1,42,146,loamy soil,52.2
Telangana ,ADILABAD,2009,Kharif     ,Moong(Green Gram),73,26,1,10111,53,Sandy loam,167.9
Telangana ,ADILABAD,2009,Kharif     ,Rice,73,26,1,37878,23235,Clay Soil,213.3
Telangana ,ADILABAD,2009,Kharif     ,Sesamum,73,26,1,1889,8,Sandy loam,137.9
Telangana ,ADILABAD,2009,Kharif     ,Soyabean,73,26,1,92093,5,loamy soil,364.4
Telangana ,ADILABAD,2009,Kharif     ,Urad,73,26,1,10069,11,Sandy loam,58
Telangana ,ADILABAD,2009,Rabi       ,Arhar/Tur,73,26,1,3785,2131, clay loams,103.3
Telangana ,ADILABAD,2009,Rabi       ,Bajra,73,26,1,831,2,Sandy soil,167.9
Telangana ,ADILABAD,2009,Rabi       ,Dry chillies,73,26,1,162,673,Sandy soil,160.9
Telangana ,ADILABAD,2009,Rabi       ,Gram,73,26,1,9536,215,Sandy soil,182.5
Telangana ,ADILABAD,2009,Rabi       ,Groundnut,73,26,1,2206,31,Sandy loam,195.7
Telangana ,ADILABAD,2009,Rabi       ,Horse-gram,73,26,1,335,5,Sandy  soil,178.4
Telangana ,ADILABAD,2009,Rabi       ,Jowar,73,26,1,29286,114,Clay soil,121.8
Telangana ,ADILABAD,2009,Rabi       ,Linseed,73,26,1,102,16,well drained soil,48.8
Telangana ,ADILABAD,2009,Rabi       ,Maize,73,26,1,4133,3000,Clay soil,286
Telangana ,ADILABAD,2009,Rabi       ,Moong(Green Gram),73,26,1,2265,67,Sandy loam,167.9
Telangana ,ADILABAD,2009,Rabi       ,Onion,73,26,1,545,61,Sandy loam,409.1
Telangana ,ADILABAD,2009,Rabi       ,Other  Rabi pulses,73,26,1,279,4,Sandy  soil,239.3
Telangana ,ADILABAD,2009,Rabi       ,Rice,73,26,1,10240,28000,Clay Soil,213.3
Telangana ,ADILABAD,2009,Rabi       ,Safflower,73,26,1,174,5,well drained soil,42.1
Telangana ,ADILABAD,2009,Rabi       ,Sesamum,73,26,1,3539,10,Sandy loam,137.9
Telangana ,ADILABAD,2009,Rabi       ,Urad,73,26,1,413,12,Sandy loam,58
Telangana ,ADILABAD,2009,Rabi       ,Wheat,73,26,1,3392,20,Clay loam,140.1
Telangana ,ADILABAD,2009,Whole Year ,Banana,73,26,1,188,25,Sandy Soil,339.4
Telangana ,ADILABAD,2009,Whole Year ,Coriander,73,26,1,726,4,well drained soil,261.3
Telangana ,ADILABAD,2009,Whole Year ,Sunflower,73,26,1,1576,97,Sandy soil,85.6
Telangana ,ADILABAD,2009,Whole Year ,Tobacco,73,26,1,12,20,Sandy clay,140.9
Telangana ,ADILABAD,2009,Whole Year ,Turmeric,73,26,1,5701,53,Clay soil,200.2
Telangana ,ADILABAD,2010,Kharif     ,Arhar/Tur,73,26,0,47884,26193, clay loams,103.3
Telangana ,ADILABAD,2010,Kharif     ,Castor seed,73,26,1,188,6,well drained soil,220.9
Telangana ,ADILABAD,2010,Kharif     ,Cotton(lint),73,26,1,324981,29232,Sandy Soil,310.8
Telangana ,ADILABAD,2010,Kharif     ,Dry chillies,73,26,1,3345,711,Sandy soil,160.9
Telangana ,ADILABAD,2010,Kharif     ,Groundnut,73,26,1,4,38,Sandy loam,195.7
Telangana ,ADILABAD,2010,Kharif     ,Jowar,73,26,1,26185,127,Clay soil,121.8
Telangana ,ADILABAD,2010,Kharif     ,Maize,73,26,1,13638,3066,Clay soil,286
Telangana ,ADILABAD,2010,Kharif     ,Moong(Green Gram),73,26,1,10628,74,Sandy loam,167.9
Telangana ,ADILABAD,2010,Kharif     ,Other Kharif pulses,73,26,1,133,20,Sandy soil,179.5
Telangana ,ADILABAD,2010,Kharif     ,Rice,73,26,1,62903,28042,Clay Soil,213.3
Telangana ,ADILABAD,2010,Kharif     ,Sesamum,73,26,1,868,11,Sandy loam,137.9
Telangana ,ADILABAD,2010,Kharif     ,Soyabean,73,26,1,61932,6,loamy soil,364.4
Telangana ,ADILABAD,2010,Kharif     ,Urad,73,26,1,10993,13,Sandy loam,58
Telangana ,ADILABAD,2010,Rabi       ,Arhar/Tur,73,26,1,1648,901, clay loams,103.3
Telangana ,ADILABAD,2010,Rabi       ,Bajra,73,26,1,1555,2,Sandy soil,167.9
Telangana ,ADILABAD,2010,Rabi       ,Dry chillies,73,26,1,480,780,Sandy soil,160.9
Telangana ,ADILABAD,2010,Rabi       ,Gram,73,26,1,11647,239,Sandy soil,182.5
Telangana ,ADILABAD,2010,Rabi       ,Groundnut,73,26,1,1924,43,Sandy loam,195.7
Telangana ,ADILABAD,2010,Rabi       ,Horse-gram,73,26,1,317,5,Sandy  soil,178.4
